camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
REM-T2-C2-1850;Médio Purus;não;Remanso;-7317382.34;-850295.147;Purus varzeá;PV;Amazon River and Flooded Forests;32
REM-T2-C3-2700;Médio Purus;não;Remanso;-7316964.23;-849585.919;Purus varzeá;PV;Amazon River and Flooded Forests;32
REM-T2-C4-4000;Médio Purus;não;Remanso;-7316643.06;-848294.138;Purus varzeá;PV;Amazon River and Flooded Forests;32
REM-T2-C5-4950;Médio Purus;não;Remanso;-7315786.24;-847637.716;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
REM-T2-C6-5900;Médio Purus;não;Remanso;-7315060.89;-846934.776;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
ROC-T1-C3-4070;Arapixi;sim;Rocha;-7577823.42;-1005618.78;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T1-C4-4880;Arapixi;sim;Rocha;-7578505.14;-1006104.14;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T1-C5-6050;Arapixi;sim;Rocha;-7579269.57;-1006951.24;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T2-C1-1150;Arapixi;sim;Rocha;-7575506.75;-1003621.73;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T2-C2-1850;Arapixi;sim;Rocha;-7576352.11;-1003916.59;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T2-C3-2780;Arapixi;sim;Rocha;-7577110.52;-1004497.12;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T2-C4-5400;Arapixi;sim;Rocha;-7578550.22;-1006845.3;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T2-C5-6000;Arapixi;sim;Rocha;-7578697.72;-1007400.11;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T3-C1-500;Arapixi;não;V;-7578068.43;-1001048.56;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T3-C2-1500;Arapixi;não;V;-7577390.49;-1000162.84;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T3-C3-2770;Arapixi;não;V;-7576675.71;-999212.653;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T3-C4-3500;Arapixi;não;V;-7577053.2;-998207.841;Purus varzeá;PV;Amazon River and Flooded Forests;32
ROC-T3-C5-5000;Arapixi;não;V;-7576066.68;-996931.207;Purus varzeá;PV;Amazon River and Flooded Forests;32
SAN-T1-C1-3500;Arapixi;sim;Santana;-7520673.33;-981987.097;Purus varzeá;PV;Amazon River and Flooded Forests;32
SAN-T1-C2-3000;Arapixi;sim;Santana;-7521011.07;-981572.203;Purus varzeá;PV;Amazon River and Flooded Forests;32
SAN-T1-C3-2500;Arapixi;sim;Santana;-7521221.46;-981101.122;Purus varzeá;PV;Amazon River and Flooded Forests;32
SAN-T1-C4-1700;Arapixi;sim;Santana;-7522092.87;-980395.701;Purus varzeá;PV;Amazon River and Flooded Forests;32
SAN-T1-C5-2000;Arapixi;sim;Santana;-7521698.24;-980686.575;Purus varzeá;PV;Amazon River and Flooded Forests;32
SAN-T1-C6-1900;Arapixi;sim;Santana;-7521277.23;-980449.078;Purus varzeá;PV;Amazon River and Flooded Forests;32
SFO-T1-C1-500;Médio Purus;não;São Francisco;-7298594.73;-845297.531;Purus varzeá;PV;Amazon River and Flooded Forests;32
SFO-T1-C2-1000;Médio Purus;não;São Francisco;-7299125.83;-845252.894;Purus varzeá;PV;Amazon River and Flooded Forests;32
SFO-T1-C3-1600;Médio Purus;não;São Francisco;-7299791.85;-844898.429;Purus varzeá;PV;Amazon River and Flooded Forests;32
SFO-T1-C4-3100;Médio Purus;não;São Francisco;-7301207.51;-844396.246;Purus varzeá;PV;Amazon River and Flooded Forests;32
SFO-T1-C5-4600;Médio Purus;não;São Francisco;-7302766.53;-844340.912;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SFO-T1-C6-6000;Médio Purus;não;São Francisco;-7304224.27;-844486.959;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SFO-T2-C1-1000;Médio Purus;não;São Francisco;-7298444.89;-843896.304;Purus varzeá;PV;Amazon River and Flooded Forests;32
SFO-T2-C2-1550;Médio Purus;não;São Francisco;-7298575.24;-843496.999;Purus varzeá;PV;Amazon River and Flooded Forests;32
SFO-T2-C3-2400;Médio Purus;não;São Francisco;-7299379.19;-842935.916;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SFO-T2-C4-3750;Médio Purus;não;São Francisco;-7300679.63;-842150.38;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SFO-T2-C5-4760;Médio Purus;não;São Francisco;-7301458.08;-841499.402;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SFO-T2-C6-6000;Médio Purus;não;São Francisco;-7302329.83;-840652.08;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SJE-T1-C1-1200;Arapixi;não;S;-7557909.02;-988619.625;Purus varzeá;PV;Amazon River and Flooded Forests;32
