Camera.Trap.Name;data.hora.correta;Photo.time;bin;;;
2011;09/06/2013 18:25;18:25:08;Myrmecophaga tridactyla;;;
2011;19/06/2013 09:20;09:20:20;Panthera onca;;;
2011;19/06/2013 09:20;09:20:20;Panthera onca;;;
2011;19/06/2013 09:20;09:20:21;Panthera onca;;;
2011;24/06/2013 10:49;10:49:42;Psophia spp.;;;
2011;24/06/2013 10:49;10:49:43;Psophia spp.;;;
2011;24/06/2013 10:49;10:49:44;Psophia spp.;;;
2011;24/06/2013 10:49;10:49:54;Psophia spp.;;;
2011;24/06/2013 10:49;10:49:55;Psophia spp.;;;
2011;24/06/2013 10:49;10:49:56;Psophia spp.;;;
2011;24/06/2013 10:50;10:50:18;Psophia spp.;;;
2011;24/06/2013 10:50;10:50:19;Psophia spp.;;;
2011;24/06/2013 10:50;10:50:20;Psophia spp.;;;
2011;05/07/2013 07:33;07:33:55;Psophia spp.;;;
2011;05/07/2013 07:33;07:33:56;Psophia spp.;;;
2011;05/07/2013 07:33;07:33:57;Psophia spp.;;;
2021;12/06/2013 20:09;20:09:15;Cuniculus paca;;;
2021;12/06/2013 20:09;20:09:16;Cuniculus paca;;;
2021;12/06/2013 20:09;20:09:17;Cuniculus paca;;;
2021;12/06/2013 20:09;20:09:23;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:39;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:40;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:41;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:44;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:45;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:46;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:54;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:55;Cuniculus paca;;;
2021;02/07/2013 01:13;01:13:55;Cuniculus paca;;;
2021;19/06/2013 16:33;16:33:22;Dasyprocta fuliginosa;;;
2021;19/06/2013 16:33;16:33:23;Dasyprocta fuliginosa;;;
2021;19/06/2013 16:33;16:33:24;Dasyprocta fuliginosa;;;
2021;19/06/2013 16:33;16:33:38;Dasyprocta fuliginosa;;;
2021;19/06/2013 16:33;16:33:39;Dasyprocta fuliginosa;;;
2021;19/06/2013 16:33;16:33:40;Dasyprocta fuliginosa;;;
2021;05/07/2013 02:49;02:49:25;Dasyspus spp;;;
2021;05/07/2013 02:49;02:49:26;Dasyspus spp;;;
2021;05/07/2013 02:49;02:49:27;Dasyspus spp;;;
2021;03/07/2013 09:11;09:11:57;Psophia spp.;;;
2021;03/07/2013 09:11;09:11:57;Psophia spp.;;;
2021;03/07/2013 09:11;09:11:58;Psophia spp.;;;
2031;14/06/2013 20:15;20:15:17;Cuniculus paca;;;
2031;14/06/2013 20:15;20:15:18;Cuniculus paca;;;
2031;14/06/2013 20:15;20:15:19;Cuniculus paca;;;
2031;14/06/2013 20:20;20:20:32;Mazama americana;;;
2031;14/06/2013 20:20;20:20:33;Mazama americana;;;
2031;14/06/2013 20:20;20:20:34;Mazama americana;;;
2031;20/06/2013 06:25;06:25:14;Mazama americana;;;
2031;20/06/2013 06:25;06:25:15;Mazama americana;;;
2031;20/06/2013 06:25;06:25:16;Mazama americana;;;
2031;20/06/2013 06:25;06:25:20;Mazama americana;;;
2031;20/06/2013 06:25;06:25:21;Mazama americana;;;
2031;20/06/2013 06:25;06:25:22;Mazama americana;;;
2031;12/06/2013 09:50;09:50:05;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:06;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:06;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:10;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:11;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:12;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:17;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:18;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:18;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:23;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:23;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:24;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:40;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:41;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:42;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:48;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:49;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:50;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:54;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:55;Psophia spp.;;;
2031;12/06/2013 09:50;09:50:56;Psophia spp.;;;
2031;11/07/2013 15:31;15:31:48;Psophia spp.;;;
2031;11/07/2013 15:31;15:31:49;Psophia spp.;;;
2031;11/07/2013 15:31;15:31:50;Psophia spp.;;;
2031;11/07/2013 15:32;15:32:36;Psophia spp.;;;
2031;11/07/2013 15:32;15:32:37;Psophia spp.;;;
2031;11/07/2013 15:32;15:32:38;Psophia spp.;;;
2041;18/06/2013 11:29;11:29:57;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:29;11:29:58;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:29;11:29:58;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:22;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:23;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:23;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:33;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:34;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:35;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:39;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:40;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:40;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:48;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:49;Dasyprocta fuliginosa;;;
2041;18/06/2013 11:54;11:54:50;Dasyprocta fuliginosa;;;
2041;29/06/2013 12:34;12:34:34;Dasyprocta fuliginosa;;;
