camera_id;X;Y
2095;-7499018;-570892
2101;-7478371;-590802
2102;-7478165;-590876
3011;-7456291;-526432
3012;-7456566;-526368
3013;-7457223;-526214
3014;-7459160;-525702
3015;-7461882;-524440
3021;-7451960;-531703
3022;-7451749;-531513
3023;-7451393;-531007
3024;-7450242;-529365
3025;-7448342;-526972
3031;-7454909;-535648
3032;-7455174;-535775
3033;-7455915;-535755
3034;-7457900;-536255
3035;-7460796;-536742
3041;-7456703;-545199
3042;-7456941;-545027
3043;-7457394;-544596
3044;-7459129;-543432
3045;-7461492;-541591
3051;-7442165;-529637
3052;-7442109;-529331
3053;-7442060;-528659
3054;-7441472;-526716
3055;-7440836;-523836
3061;-7556483;-666086
3062;-7556698;-665861
3063;-7557235;-666720
3064;-7558477;-668349
3065;-7559810;-670439
3071;-7542470;-661610
3072;-7542158;-661650
3073;-7541538;-661638
3074;-7539499;-661651
3075;-7536502;-661142
3081;-7554700;-652440
3082;-7554866;-652170
3083;-7555339;-651653
3084;-7556102;-649788
3085;-7557225;-647070
3091;-7540106;-637834
3092;-7539815;-637964
3093;-7539125;-638349
3094;-7537593;-640287
4011;-7556170;-631173
4012;-7556322;-630886
4013;-7556785;-630464
4014;-7558480;-629322
4015;-7560910;-627558
4022;-7545249;-617650
4023;-7545739;-617140
4024;-7548062;-617228
4031;-7521736;-626020
4032;-7521823;-626336
4033;-7521800;-626963
4034;-7520496;-628672
4035;-7518601;-631073
4041;-7511973;-614881
4042;-7511963;-615172
4043;-7511731;-615823
4044;-7510558;-617457
4045;-7510674;-620651
4051;-7525384;-606878
4053;-7526227;-606423
4054;-7527574;-604953
5011;-7562691;-648079
5012;-7562945;-648198
5013;-7563588;-647977
5014;-7565610;-648260
5015;-7568616;-648705
5021;-7561537;-641985
5022;-7561813;-641974
5023;-7562512;-641956
5024;-7564502;-641725
5025;-7566835;-641093
5031;-7498605;-618417
5032;-7498640;-618701
5033;-7499412;-618992
5034;-7500606;-619963
5035;-7501918;-620665
5041;-7495896;-615337
5042;-7495610;-615224
5043;-7494956;-615278
5044;-7492945;-615435
